iter	Logloss	CrossEntropy	Accuracy
244	0.0479969516	0.0479969516	0.9795613477
245	0.04796561874	0.04796561874	0.979497775
246	0.04791190427	0.04791190427	0.9795772409
247	0.04786977292	0.04786977292	0.9795931341
248	0.04784806707	0.04784806707	0.9795772409
249	0.04782748024	0.04782748024	0.9795772409
250	0.04774538422	0.04774538422	0.9796090273
251	0.0477027871	0.0477027871	0.9796408137
252	0.04767040399	0.04767040399	0.9796567069
253	0.04764485765	0.04764485765	0.9796567069
254	0.04761280934	0.04761280934	0.9796726001
255	0.04751272819	0.04751272819	0.9796884933
256	0.04748567992	0.04748567992	0.9796884933
257	0.04746048304	0.04746048304	0.9796884933
258	0.04741568158	0.04741568158	0.9796567069
259	0.0473567999	0.0473567999	0.9796567069
260	0.04730996821	0.04730996821	0.9796567069
261	0.04728144941	0.04728144941	0.9796567069
262	0.04721674595	0.04721674595	0.9796884933
263	0.04715601847	0.04715601847	0.9796884933
264	0.04712433229	0.04712433229	0.9796884933
265	0.04703283283	0.04703283283	0.9797202797
266	0.04697104833	0.04697104833	0.9797361729
267	0.04692736962	0.04692736962	0.9797361729
268	0.0468714816	0.0468714816	0.9797520661
269	0.04680025903	0.04680025903	0.9797679593
270	0.0467394598	0.0467394598	0.9797679593
271	0.04670450076	0.04670450076	0.9797520661
272	0.04656316615	0.04656316615	0.9798792117
273	0.04651017765	0.04651017765	0.9798792117
274	0.04648518128	0.04648518128	0.9798792117
275	0.04642298873	0.04642298873	0.9798792117
276	0.04638273564	0.04638273564	0.9798792117
277	0.04633803109	0.04633803109	0.9798633185
278	0.04630035631	0.04630035631	0.9798792117
279	0.04627747996	0.04627747996	0.9798792117
280	0.04624291893	0.04624291893	0.9798792117
281	0.04619374889	0.04619374889	0.9798951049
282	0.04614529284	0.04614529284	0.9798951049
283	0.04613474583	0.04613474583	0.9798951049
284	0.04611216367	0.04611216367	0.9798951049
285	0.04607004825	0.04607004825	0.9798951049
286	0.0460139213	0.0460139213	0.9799109981
287	0.04599564728	0.04599564728	0.9799109981
288	0.04596153862	0.04596153862	0.9799109981
289	0.04590883691	0.04590883691	0.9798951049
290	0.04587994974	0.04587994974	0.9798633185
291	0.04581103182	0.04581103182	0.9798951049
292	0.0457729055	0.0457729055	0.9799268913
293	0.04576091262	0.04576091262	0.9799268913
